"page_name","funding_entity"
"Tom Basile for State Senate","New York State Senate Republican Campaign Committee"
"Elect James Cordrey","Elect James Cordrey | Elgin Wilson, Treasurer"
"Mitchell Advertising","Brent Webster Consulting LLC"
"Jim Newberger for US Senate","JIM NEWBERGER FOR UNITED STATES SENATE"
"Jim Hagedorn","Friends of Hagedorn"
"Carver County Conservative PAC","Vince"
"6th Congressional District Republican Party of Minnesota","Sixth District Republicans"
"MPR News","MPR News"
"CD3 Republicans","CD3 Republicans"
"Lacy Johnson for 59B","FRIENDS OF LACY JOHNSON"
"Republican Roundtable MN","Republican Roundtable"
"MNGOP of St. Louis County",NA
"Our Revolution of Southern MN","Our Revolution of Southern MN"
"Jerry Trooien for United States Senate",NA
"Jerry Trooien for US Senate","Trooien For US Senate"
"Jerry Trooien for United States Senate","Jerry Trooien for United States Senate"
"Jerry Trooien for US Senate",NA
"Jerry Trooien for United States Senate","Trooien For US Senate"
"American Straw Poll","Jerry Trooien for U.S. Senate "
"Karin Housley","Housley for Senate Committee"
"Tina Smith","Tina Smith for Minnesota"
"Karin Housley",NA
"Richard Painter","Painter Minnesota"
"Bob Anderson for U.S. Senate","Bob Anderson for Senate"
"1st Tuesday Conservatives","Scott Nintzel "
"SD36 MNGOP","SD36 MNGOP"
"Right Now MN","Right Now MN"
"Planned Parenthood Action","Planned Parenthood Action Fund, 123 Williams St, NY NY 10038. Not authorized by any candidate or candidate's committee."
"Clean Water Action Minnesota","Clean Water Action/Clean Water Fund"
"Planned Parenthood Minnesota Advocate","Planned Parenthood Minnesota, North Dakota, South Dakota Action Fund"
"CD3 Republicans","Vince Beaudette"
"Southeast Minnesota Area Labor Council, AFL-CIO","Southeast Minnesota Area Labor Council, AFL-CIO"
"Twin Ports Democratic Socialists of America","Twin Ports DSA"
"Tower Mn","Lake Vermilion Chamber of Commerce"
"Center for Biological Diversity","Center for Biological Diversity"
"WaterLegacy",NA
"Cook Mn","Cook Chamber of Commerce"
"Center of the American Experiment","Center of the American Experiment"
"Right Now USA Superpac","Right Now USA"
"Republican Party of Minnesota","THE REPUBLICAN PARTY OF MINNESOTA. NOT AUTHORIZED BY ANY CANDIDATE OR CANDIDATE'S COMMITTEE. "
"Dean Phillips for Congress","Dean Phillips for Congress"
"Peter McLaughlin","Paid and Prepared by Friends of Peter McLaughlin  3425 Sixteenth Ave S, Mpls, MN 55407"
"SD47 DFL","Mary Leizinger, Chair, Carver County Democrats - SD47  "
"Friends of the Cloquet Valley State Forest","Friends of the Cloquet Valley State Forest"
"Nathan Johnson for TX Senate","Nathan Johnson Campaign"
"Democracy Toolbox","Democracy Toolbox"
"Amy Klobuchar","Klobuchar for Minnesota"
"Amy Klobuchar",NA
"Julie Blaha for State Auditor","Minnesotans for Julie Blaha"
"University of Minnesota Masonic Children's Hospital","University of Minnesota Health"
"City Journal","City Journal"
"Andrew Carlson for State Representative","Andrew Carlson for State Representative"
"Democratic Party of Denver","Democratic Party of Denver "
"Resist Trump's agenda","Diana Arezzo, Ph.D., concerned private citizen, solely for the purpose of increasing post reach"
"Ray Skip Sandman for 8th Congressional District Minnesota","Paid for by Sandman for Congress, PO Box 16233 Duluth MN 55816"
"Richard Painter",NA
"David Baria for Mississippi","Baria for Mississippi"
"YallPolitics","YallPolitics"
"Mississippi Center for Public Policy","Mississippi Center for Public Policy"
"Roger Wicker","Wicker for Senate"
"Citizens Militia Of Mississippi",NA
"Roberts Wilson, P.A. Injury Lawyers",NA
"Chicken Fried Politics","Rich Shumate"
"Strother Nuckels Strategies","Strother Nuckels Strategies"
"Chicken Fried Politics","ChickenFriedPolitics.com/Rich Shumate, editor"
"Mississippi Victory Fund","Mississippi Victory Fund. Not Authorized by Any Candidate or Candidate's Committee"
"Senator Chris McDaniel","Friends of Chris McDaniel"
"Mike Espy","Mike Espy for Senate"
"Mississippi Republican Party"," the Mississippi Republican Party. Not authorized by a candidate or candidate committee."
"Mike Espy",NA
"Mississippi Democratic Party","Mississippi Democratic Party"
"PAC+","PowerPACPlus, not authorized by any candidate or candidate's committee"
"Rankin County for Chris McDaniel US Senate","Rankin County Friends of Chris McDaniel"
"The Winners, LLC","The Winners, LLC"
"Harrison County Democrats","Harrison County Democrats"
"Scott County for Chris McDaniel","Scott County for Chris McDaniel"
"Howard Sherman For  Senate",NA
"Howard Sherman For  Senate","Paid for by Howard Sherman for Senate"
"Danny Bedwell","Friends of Danny Bedwell"
"E. Brian Rose for Congress","Rose for Congress"
"End Party Politics, LLC","End Party Politics, LLC"
"Elect T. Lee Horne, III","T. Lee Horne, III. I am T. Lee Horne, III and I approve this ad."
"Cindy Hyde-Smith","CINDY HYDE-SMITH FOR US SENATE "
"Senator Chris McDaniel","Chris McDaniel"
"Remember Mississippi","Remember Mississippi PAC"
"Jackson County for Chris McDaniel","Brad Patano"
"Jones County for Chris McDaniel, U.S. Senate","Jerel Wade"
"Remember Mississippi","Paid for by Remember Mississippi PAC. Not authorized by any candidate or candidate's committee. www.RememberMississippi.org"
"Senator Chris McDaniel",NA
"DiversityInc","Diversity Incorporated "
"Lost AF in Translation, LLC","Lost AF in Translation, LLC"
"Circa","Circa"
"Harrison County Republican Club","Harrison County (MS) Republican Club"
"Jones County for Chris McDaniel, U.S. Senate",NA
"Rankin County for Chris McDaniel US Senate",NA
"Claire McCaskill","McCaskill for Missouri"
"Charlie Norr","Citizens to Elect Charlie Norr - David Trippe, Treasurer"
"Missouri's Voice","Priorities USA Action and SMP. Not authorized by any candidate or candidate's committee."
"Missouri's Voice","Priorities USA Action and Senate Majority PAC. Not authorized by any candidate or candidate's committee."
"Tony Monetti","Yuko Social LLC"
"Missouri Farm Bureau","Missouri Farm Bureau "
"YouGov","YouGov"
"Josh Hawley"," Josh Hawley For Senate"
"Green Party of Kansas City, Missouri"," the KCHOA Green Party Chapter, Kelley Dragoo Treasurer"
"Missouri Rising Action","Missouri Rising Action. Not authorized by any candidate or candidate committee."
"Austin Petersen","Austin Petersen for US Senate"
"Tony Monetti","Citizens for Monetti"
"Bridge Project","American Bridge 21st Century Foundation"
"Missouri Republican Party","The Missouri Republican Party"
"MO Electric Co-ops","Association of Missouri Electric Cooperatives"
"Republicans Fighting Tariffs","Defending Democracy Together"
"Tony Monetti",NA
"Jeremy Cady","Jeremy Cady"
"Locke Thompson","Friends For Locke Thompson, Sherry Mariea Treasurer."
"Americans For Prosperity - Missouri","Americans for Prosperity"
"Millionaire Claire","Senate Leadership Fund"
"America Rising PAC","America Rising PAC"
"Claire McCaskill",NA
"WPA Intelligence","WPA Intelligence"
"State Representative Nick Schroer","Friends of Nick Schroer, Josh Murphy - Treasurer"
"Claire Doesn't Care","NRSC"
"Americans for Prosperity","Americans For Prosperity"
"Claire Doesn't Care","NRSC. Not authorized by any candidate or committee."
"Cindy O'Laughlin","Missourians for O'laughlin, Wayne Wilcox, Treasurer"
"Col Rob Maness ret","Iron Liberty Group"
"CFGA Missouri","Paid for by CFG Action Missouri and not authorized by any candidate or candidate’s committee. www.cfgactionmissouri.com"
"Cort VanOstran for Congress","Cort Vanostran for Congress"
"Sean Smith for State Representative","Missourians for Sean Smith, Rusty Brown Treasurer"
"Stuart Shapiro","Stuart Shapiro"
"Courtland Sykes for Senate","Courtland Sykes for Senate"
"SEMO GOP","semo gop"
"End Citizens United","End Citizens United"
"Nick Thomas",NA
"Japheth Campbell","Japheth Campbell for Liberty Committee"
"CFG Action","Club for Growth Action"
"Russ Fagg, Candidate for US Senate","RUSS FAGG SENATE COMMITTEE"
"CFG Action","CLUB FOR GROWTH ACTION IS RESPONSIBLE FOR THE CONTENT OF THIS ADVERTISING. PAID FOR BY CLUB FOR GROWTH ACTION. NOT AUTHORIZED BY ANY CANDIDATE OR CANDIDATE’S COMMITTEE. CLUBFORGROWTHACTION.ORG"
"Matt Rosendale","Matt Rosendale for Montana"
"Jon Tester","Montanans for Tester"
"Russ Fagg, Candidate for US Senate",NA
"Colette Davies for District Court Judge","Davies for District Court, Cheryl Harris Treasurer,  PO Box 21672,  Billings MT 59104"
"Montanans Against Higher Taxes","Montanans Against Higher Taxes, POB 1111, 3 Forks MT 59752 Treasurer: Timothy Adams"
"Montanans Against Higher Taxes",NA
"Tim Adams, Maryland Senate - District 23",NA
"FutureinAmerica","Future in America"
"Maryland Matt Rosendale","SMP. Not authorized by any candidate or candidate's committee."
"Montanans For Limited Government","Montanans for Limited Government"
"End Citizens United","End Citizens United, 202-798-5253. Not authorized by any candidate or candidate's committee."
"Truth About Tester","NRSC"
"Restoration PAC","Restoration PAC"
"National Association for Gun Rights","National Association for Gun Rights PAC"
"Matt Rosendale",NA
"Montana Rifles","Michael Vadon"
"Sportsmen and Sportswomen for Tester","Montanans for Tester"
"OpenSource MT","OpenSourceMT"
"FreedomWorks","FreedomWorks for America. Not authorized by any candidate or candidate's committee. www.freedomworksforamerica.org"
"Zero In Indoor Shooting Center",NA
"America First Action","America First Action, Inc. Not authorized by any candidate or candidate's committee."
"CFGA Montana","CFG Action Montana"
"Greater Yellowstone Coalition","Greater Yellowstone Coalition"
"Flush The Jon 2018","Flush The Jon 2018"
"Northern Plains Resource Council","Northern Plains Resource Council"
"Teton County Democrats-Montana",NA
"Yellowstone County Republicans","YCRCC PO Box 724 Billings MT 59103/ JoAnn Black Treasurer"
"Cascade County Democratic Central Committee","Cascade County Democrats - Bill Strizich, Chair"
"Montana True","SMP, www.SenateMajority.com, and not authorized by any candidate or candidate’s committee."
"Women for Tester","Montanans for Tester"
"Gallatin County Democrats","Gallatin County Democrats, Treasurer Hanah McCarthy, PO Box 344, Bozeman, MT 59771"
"Failed Tester","SENATE LEADERSHIP FUND. NOT AUTHORIZED BY ANY CANDIDATE OR CANDIDATE'S COMMITTEE. WWW.SENATELEADERSHIPFUND.ORG"
"A New Angle",NA
"Native Americans for Tester","Montanans for Tester"
"Friends of Montana Coal Economy","Friends of Montana Coal economy"
"Students for Tester","Montanans for Tester"
"Tom McGillvray for State Senate","Tom McGillvray for Montana, Dan Hofferber, Treasurer, PO Box 50909, Billings MT 59105"
"Missoula Current","Missoula Current and Montana Today"
"Americans for Prosperity-Montana","Americans for Prosperity"
"Protect Our Care Montana","Protect Our Care"
"Montanaveteranshow",NA
"Tom Winter","WInter For House- Tom Steenberg, Treasurer- P.O. Box 8541 Missoula, MT 59807"
"Dr. Al Olszewski for Senate","Al Olszewski for U.S. Senate"
"Jane Raybould","Raybould for US Senate"
"Matt Deaver for Legislature","Paid for by Matt Deaver for Legislature"
"Growth Energy",NA
"Let Them Live","Nathan Berning"
"The Dolphin Democrats","Alfredo Olvera"
"Senator Spineless Dean Heller","Rosen for Nevada"
"Jacky Rosen for Nevada","Rosen for Nevada"
"Dean Heller","Heller for Senate"
"Dishonest Dean Heller","SMP. (202) 871-9255. Not authorized by any candidate or candidate's committee.   "
"Let's Flip Rural Nevada Blue","Jeffrey Hoffman"
"Nevada Senate Updates","Heller for Senate"
"Heller Nos Falló","SMP. (202) 871-9255. Not authorized by any candidate or candidate's committee."
"Marsy's Law for Nevada","Marsy’s Law for Nevada"
"Jesse Sbaih for Senate",NA
"Brady PAC","Brady PAC"
"360Daily.net","360 News Las Vegas "
"Brian Sandoval","Heller For Senate"
"Lyon County, Nevada Democrats","Judy Hudak Zabolocky"
"Jesse Sbaih for Senate","Jesse for Nevada"
"Population Connection Action Fund","Population Connection Action Fund"
"Connie Munk for Nevada Assembly District 4","Committee to Elect Connie Munk for Assembly District 4"
"Save Nevada's Water: Ban Fracking In Nevada","C. F. Gerlach"
"Adam Laxalt","Laxalt for Nevada"
"Tim Hagan","Tim Hagan for US Senate"
"NextGen America","NextGen Climate Action Committee"
"The Laughing Jackass","The Laughing Jackass"
"AFSCME Local 4041","AFSCME Nevada and by the American Federation of State, County & Municipal Employees. Not authorized by any candidate or candidate's committee."
"Californians for Rosen","NRSC. Not authorized by any candidate or candidate's committee"
"Catherine Cortez Masto","Rosen for Nevada"
"Jacky Rosen for Nevada",NA
"Steve Sisolak","Friends for Steve Sisolak"
"Democratic Party of Washoe County","Democratic Party of Washoe County"
"Gregshorts4NV","by Friends of Gregory Shorts"
"Curtis Cannon 4 Nevada","Committee to elect Curtis Cannon"
"Bobby Mahendra for U.S. Senator for Nevada",NA
"Neil Ruddy","Neil Ruddy"
"Leadership for Maine","Poliquin for Congress"
"PLAN Action Fund","Community Change Voters"
"NJ Citizens for a Free State","NJ Citizens for a Free State"
"Shamelessly Corrupt Menendez","Integrity NJ, PO Box 34, Manalapan, NJ 07726 Not authorized by any candidate or candidate’s committee."
"New Jersey Organizing Project","New Jersey Organizing Project."
"New Jersey Working Families Alliance","New Jersey Working Families Alliance"
"Health News NJ","Menendez for Senate"
"Frank Pietropaolo For Passaic County Freeholder","Frank Pietropaolo For Freeholder"
"New Jersey Libertarian Party","the New Jersey Libertarian Party"
"Murray Sabrin for U.S. Senate","Sabrin for Senate"
"Jeff Scott for Congress","Elect Jeff Scott Congressman NC09"
"Brendan Maroney for Monmouth County Freeholder","Maroney for Freeholder"
"Bob Menendez for NJ","Menendez for Senate"
"Democrats for Bob Hugin","Democrats for Bob Hugin"
"Freeholder Assad Akhter","Friends of Assad Akhter "
"Councilman Paul Kanitra","Paul Kanitra"
"Bob Hugin","Bob Hugin for Senate, Inc."
"Patients For Affordable Drugs NOW","Patients for Affordable Drugs NOW"
"James Gannon for Sheriff","Jim Gannon for Sheriff"
"Rich Pezzullo","Rich Pezzullo for Congress"
"Bob Hugin",NA
"Summit Republican City Committee","Summit Republican City Committee"
"Sussex Gop","Sussex County Republican Committee"
"Summit Republicans","Summit Republican City Committee"
"Monmouth County Republican Committee","Monmouth County Republican Committee"
"Rich Castaldo for Freeholder","Castaldo for Freeholder | 36 Central Ave. Old Bridge NJ 08857"
"Holmdel Republican Party","Holmdel Republican Party"
"Price for Ocean County Freeholder","Price for Ocean County Freeholder"
